cricket	sostenitore	0.0
scultura	statua	4.0
browser	Mozilla Firefox	3.5
Fox Terrier	Canon	0.0
HSBC	Gran Bretagna	1.5
Bibbia	Vangelo	3.0
vestito	danza	1.5
array	lista	2.5
cella	gattabuia	3.5
saggio	compito a casa	1.5
computer	macchina	1.5
panda	orso polare	2.0
nevrosi	mente	2.5
campagna	scimmia	0.0
costante di Faraday	zaino	0.0
palazzo	grattacielo	3.5
elicottero	aereo	3.0
Università di Cambridge	Università di Oxford	3.0
bandiera	asta	2.0
finestra	tetto	1.5
gioco di carte	frisbee	2.0
malware	worm	2.0
pianeta	stella	2.0
corridore	atleta	2.5
calibro	ombrello	0.0
WiFi	WikiLeaks	0.5
siccità	acqua	1.5
aeroporto	pezzo	0.0
orchestra	banda	2.5
mojito	mohito	4.0
programma	esame	1.0
teorema	teoria	3.0
yo-yo	giocattolo	3.0
tormenta	pioggia	3.0
storico	storiografo	3.0
Siemens	treno elettrico	1.0
secolo	anno	2.0
lega	acciaio	2.5
magistrato	giudice	2.0
caos	classe	1.5
formazione a distanza	internet	1.5
sabbia	piede	0.5
IMF	Deutsche Bank	2.5
Guardian	Times	2.5
baco da seta	Via della Seta	1.5
libertà	oasi	0.5
citoplasma	dito	0.0
protestante	cristiano	2.0
Leonardo da Vinci	L'Ultima Cena	2.0
mappa	piazza	0.5
-	-	
Pearson_annotated	0.686696168936463	
Spearman_annotated	0.6985010409252931	
Pearson_NASARI	0.6388615380379166	
Spearman_NASARI	0.7130928655422685	
