cricket	sostenitore	0
scultura	statua	4
browser	Mozilla Firefox	3
Fox Terrier	Canon	0
HSBC	Gran Bretagna	1
Bibbia	Vangelo	3
vestito	danza	1
array	lista	3
cella	gattabuia	3
saggio	compito a casa	2
computer	macchina	3
panda	orso polare	3
nevrosi	mente	2
campagna	scimmia	0
costante di Faraday	zaino	0
palazzo	grattacielo	4
elicottero	aereo	3
Università di Cambridge	Università di Oxford	3
bandiera	asta	2
finestra	tetto	2
gioco di carte	frisbee	3
malware	worm	3
pianeta	stella	3
corridore	atleta	3
calibro	ombrello	0
WiFi	WikiLeaks	1
siccità	acqua	2
aeroporto	pezzo	0
orchestra	banda	3
mojito	mohito	4
programma	esame	2
teorema	teoria	3
yo-yo	giocattolo	3
tormenta	pioggia	3
storico	storiografo	3
Siemens	treno elettrico	2
secolo	anno	3
lega	acciaio	3
magistrato	giudice	3
caos	classe	2
formazione a distanza	internet	2
sabbia	piede	1
IMF	Deutsche Bank	3
Guardian	Times	3
baco da seta	Via della Seta	1
libertà	oasi	1
citoplasma	dito	0
protestante	cristiano	3
Leonardo da Vinci	L'Ultima Cena	2
mappa	piazza	1
