cricket	sostenitore	bn:00023797n	bn:00001362n	batsman,ball,bowler	adepto,aderente,affiliato
scultura	statua	bn:17175797n	bn:01321197n	scultura,intaglio	statua
browser	Mozilla Firefox	bn:00013447n	bn:01387235n	browser,browser_web,navigatore	mozilla_firefox,firefox,electrolysis
Fox Terrier	Canon	bn:03237376n	bn:16199914n	fox_terrier,fox_terrier_a_pelo_liscio,fox_terrier_a_pelo_ruvido	canon,canon_inc.
HSBC	Gran Bretagna	bn:02580408n	bn:00013173n	hsbc,hsbc_holdings,hong_kong_and_shanghai_banking_corporation	gb,gran_bretagna,inghilterra
Bibbia	Vangelo	bn:16905020n	bn:00957035n	la_bibbia,bibbia	vangelo,vangelista
vestito	danza	bn:01573378n	bn:00025142n	il_vestito,vestito,de_jurk	ballo,danza,danzatore
array	lista	bn:02756908n	bn:02117586n	vector,array,vettore	comprensione_di_lista,list_comprehension,lista
cella	gattabuia	bn:00017031n	bn:00064468n	cella,carcere_cella,cella_di_prigione	prison,prisoner,inmate
saggio	compito a casa	bn:00021410n	bn:00069626n	componimento,elaborato,relazione	homework,preppy,student
computer	macchina	bn:00054739n	bn:00007309n	pc,personal_computer,microcomputer	car,vehicle,ford
panda	orso polare	bn:13846629n	bn:00045719n	panda	orso_bianco,orso_polare,ursus_maritimus
nevrosi	mente	bn:00057430n	bn:05518425n	personality,neuroticism,trait	mente
campagna	scimmia	bn:00023237n	bn:00004847n	campagna,area_rurale,aree_rurali	ape,primate,chimpanzee
costante di Faraday	zaino	bn:00033657n	bn:00069639n	faraday,m.-faraday,michael_faraday	cartella,zainetto,zaino
palazzo	grattacielo	bn:11389296n	bn:00044044n	palazzo	casa_a_torre,condominio,grattacielo
elicottero	aereo	bn:00018734n	bn:16750414n	helicopter,aircraft,rotor	aereo,aeroplano,aeromobili_ad_ala_fissa
Università di Cambridge	Università di Oxford	bn:00014988n	bn:00059980n	università_di_cambridge,cambridge_university,university_of_cambridge	università_di_oxford,oxford_university,university_of_oxford
bandiera	asta	bn:14625286n	bn:00063293n	flag,bandiera	asta,palo,stanga
finestra	tetto	bn:00081285n	bn:00068221n	window,glass,pane	tetto
gioco di carte	frisbee	bn:00015923n	bn:00036583n	gioco_di_carte,giochi_di_carte,giochi_con_le_carte	frisbee,freesbee,freesbi
malware	worm	bn:01363738n	bn:00081636n	malware,software,user	worm,verme
pianeta	stella	bn:00069344n	bn:01010003n	saturno,giove,luna	stella
corridore	atleta	bn:00068570n	bn:00006747n	corridore,persona_che_corre	atleta,sportivo,sportiva
calibro	ombrello	bn:00037015n	bn:00013287n	calibro,indicatore,misuratore	ombrello,gamp
WiFi	WikiLeaks	bn:00081176n	bn:03777357n	wireless,wi-fi,network	wikileaks,cablegate,pubblicazione_dei_documenti_diplomatici_statunitensi
siccità	acqua	bn:00005634n	bn:08894579n	gobabeb,arid,climate	acqua
aeroporto	pezzo	bn:09032877n	bn:00062297n	aeroporto	istmo,pezzo,parte
orchestra	banda	bn:03960927n	bn:15139520n	orchestra	banda_musicale,banda,orchestra_di_fiati
mojito	mohito	bn:01361585n	bn:01361585n	mojito,mohito	mojito,mohito
programma	esame	bn:00023295n	bn:00032089n	student,curriculum,education	compito_in_classe,esame,prova
teorema	teoria	bn:00076831n	bn:00045632n	theorem,proof,axiom	hypothesis,theory,science
yo-yo	giocattolo	bn:01443127n	bn:00062965n	yo-yo	balocco,gingillo,giocattolo
tormenta	pioggia	bn:00074459n	bn:00066032n	bufera,burrasca,tempesta	precipitation,rainfall,rain
storico	storiografo	bn:00044266n	bn:00044266n	storiografia,storici,storico	storiografia,storici,storico
Siemens	treno elettrico	bn:15893420n		siemens,famiglia_siemens	
secolo	anno	bn:00031261n	bn:00004401n	epoca,era,età	calendar,day,year
lega	acciaio	bn:00002936n	bn:09058328n	alloy,metal,copper	ferro
magistrato	giudice	bn:00048489n	bn:00048503n	avvocato_giudice,magistrato	court,supreme court,judge
caos	classe	bn:04319721n	bn:00019478n	caos,chaos,disordine	ceto,classe,classe_sociale
formazione a distanza	internet	bn:00022863n	bn:00024712n	corso_per_corrispondenza,formazione_a_distanza,corrispondenza_corso	internet,network,access
sabbia	piede	bn:15959456n	bn:00035679n	sabbia,sand,will_james'_sand	piede,dita_dei_piedi,impronte_di_piede
IMF	Deutsche Bank		bn:03315023n		deutsche_bank
Guardian	Times	bn:00896958n	bn:03113174n	guardian	the_times,times,times_online
baco da seta	Via della Seta	bn:00071605n	bn:00071602n	baco_da_seta,bigatto,bombice	via_della_seta,la_via_della_seta,vie_della_seta
libertà	oasi	bn:00007389n	bn:01267294n	autonomy,autonomous,self-determination	oasi
citoplasma	dito	bn:00024905n	bn:00077465n	cell,protein,cytoplasm	toe,foot,bone
protestante	cristiano	bn:00064866n	bn:00018828n	protestante,chiesa_protestante	cristianesimo,cristianità,chiese_cristiane
Leonardo da Vinci	L'Ultima Cena	bn:05222153n	bn:03599114n	leonardo_da_vinci	ultima_cena,cenacolo_vinciano,il_cenacolo
mappa	piazza	bn:09081280n	bn:00065099n	mappa	piazza,piazzale,piazze
