cricket	sostenitore	0
scultura	statua	4
browser	Mozilla Firefox	4
Fox Terrier	Canon	0
HSBC	Gran Bretagna	2
Bibbia	Vangelo	3
vestito	danza	2
array	lista	2
cella	gattabuia	4
saggio	compito a casa	1
computer	macchina	0
panda	orso polare	1
nevrosi	mente	3
campagna	scimmia	0
costante di Faraday	zaino	0
palazzo	grattacielo	3
elicottero	aereo	3
Università di Cambridge	Università di Oxford	3
bandiera	asta	2
finestra	tetto	1
gioco di carte	frisbee	1
malware	worm	1
pianeta	stella	1
corridore	atleta	2
calibro	ombrello	0
WiFi	WikiLeaks	0
siccità	acqua	1
aeroporto	pezzo	0
orchestra	banda	2
mojito	mohito	4
programma	esame	0
teorema	teoria	3
yo-yo	giocattolo	3
tormenta	pioggia	3
storico	storiografo	3
Siemens	treno elettrico	0
secolo	anno	1
lega	acciaio	2
magistrato	giudice	1
caos	classe	1
formazione a distanza	internet	1
sabbia	piede	0
IMF	Deutsche Bank	2
Guardian	Times	2
baco da seta	Via della Seta	2
libertà	oasi	0
citoplasma	dito	0
protestante	cristiano	1
Leonardo da Vinci	L'Ultima Cena	2
mappa	piazza	0
